"Date","Time","CO.GT.","PT08.S1.CO.","NMHC.GT.","C6H6.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH"
"3/10/2004","18:00:00",0.211864406779661,0.511844938980617,0.120981387478849,0.185534591194969,0.36209721463681,0.111035883547732,0.310885218127912,0.328402366863905,0.513039568345324,0.454821894005213,0.333333333333333,0.49937106918239,0.280066461418169
"3/10/2004","19:00:00",0.161016949152542,0.463029432878679,0.0888324873096447,0.14622641509434,0.312397596941562,0.0683818551117129,0.360864040660737,0.266272189349112,0.453237410071942,0.326238053866203,0.326881720430108,0.484276729559748,0.264281874602942
"3/10/2004","20:00:00",0.177966101694915,0.541995692749462,0.0685279187817259,0.139937106918239,0.303659202621518,0.0873392010832769,0.346463362981787,0.331360946745562,0.451438848920863,0.370547350130321,0.296774193548387,0.563522012578616,0.276352440991057
"3/10/2004","21:00:00",0.177966101694915,0.523330940416368,0.0617597292724196,0.143081761006289,0.308574549426543,0.11509817197021,0.326132994493859,0.355029585798817,0.464478417266187,0.426585577758471,0.27741935483871,0.638993710691824,0.294189512779162
"3/10/2004","22:00:00",0.127118644067797,0.448671931083991,0.0372250423011844,0.10062893081761,0.247405789186237,0.0873392010832769,0.373994070309191,0.337278106508876,0.422212230215827,0.386185925282363,0.281720430107527,0.633962264150943,0.295215755265601
"3/10/2004","23:00:00",0.0932203389830508,0.394831299353912,0.0262267343485618,0.0723270440251572,0.200436919716002,0.0589031821259309,0.429902583650995,0.27810650887574,0.378597122302158,0.31624674196351,0.281720430107527,0.628930817610063,0.293261007672384
"3/11/2004","0:00:00",0.0932203389830508,0.3862167982771,0.0203045685279188,0.0550314465408805,0.167667941015838,0.04062288422478,0.48284625158831,0.22189349112426,0.351618705035971,0.22241529105126,0.283870967741935,0.59874213836478,0.28128817866393
"3/11/2004","1:00:00",0.076271186440678,0.351040918880115,0.0203045685279188,0.050314465408805,0.157837247405789,0.04062288422478,0.479034307496823,0.218934911242604,0.351618705035971,0.221112076455256,0.270967741935484,0.638993710691824,0.286126178957142
"3/11/2004","2:00:00",0.0677966101694915,0.320890165111271,0.0143824027072758,0.0345911949685535,0.123429819770617,0.029113067027759,0.532401524777637,0.171597633136095,0.325989208633094,0.173327541268462,0.270967741935484,0.635220125786163,0.283487269706299
"3/11/2004","3:00:00",0.0423728813559322,0.260588657573582,0.0101522842639594,0.0251572327044025,0.0972146368104861,0.120514556533514,0.58576874205845,0.316568047337278,0.307553956834532,0.121633362293658,0.262365591397849,0.641509433962264,0.277085471338513
